Temperature (K),Pressure (MPa),Density (l, mol/m3),Volume (l, m3/mol),Internal Energy (l, kJ/mol),Enthalpy (l, kJ/mol),Entropy (l, J/mol*K),Cv (l, J/mol*K),Cp (l, J/mol*K),Sound Spd. (l, m/s),Joule-Thomson (l, K/MPa),Viscosity (l, uPa*s),Therm. Cond. (l, W/m*K),Surf. Tension (l, N/m),Density (v, mol/m3),Volume (v, m3/mol),Internal Energy (v, kJ/mol),Enthalpy (v, kJ/mol),Entropy (v, J/mol*K),Cv (v, J/mol*K),Cp (v, J/mol*K),Sound Spd. (v, m/s),Joule-Thomson (v, K/MPa),Viscosity (v, uPa*s),Therm. Cond. (v, W/m*K)
483.16,1.9081,47332.,2.1127e-05,16.132,16.172,43.680,59.126,81.992,1299.2,-0.074777,127.86,0.65306,0.035378,532.34,0.0018785,46.809,50.394,114.51,38.563,56.757,504.62,22.485,16.009,0.040437
493.16,2.3200,46639.,2.1441e-05,16.950,17.000,45.358,58.511,83.135,1264.5,-0.058297,121.76,0.64526,0.033064,644.88,0.0015507,46.862,50.460,113.21,39.945,59.974,504.77,20.618,16.355,0.042608
503.16,2.7976,45911.,2.1781e-05,17.778,17.839,47.023,57.928,84.449,1227.7,-0.039614,116.19,0.63662,0.030734,776.45,0.0012879,46.892,50.495,111.92,41.379,63.570,504.35,18.938,16.705,0.044962
513.16,3.3475,45148.,2.2149e-05,18.618,18.693,48.678,57.379,85.969,1189.0,-0.018285,111.05,0.62716,0.028391,929.88,0.0010754,46.896,50.496,110.65,42.867,67.627,503.32,17.425,17.062,0.047527
523.16,3.9768,44345.,2.2551e-05,19.472,19.561,50.328,56.865,87.739,1148.2,0.0062563,106.28,0.61688,0.026041,1108.5,0.00090210,46.872,50.460,109.39,44.418,72.256,501.62,16.057,17.430,0.050339
533.16,4.6930,43497.,2.2990e-05,20.340,20.447,51.975,56.390,89.820,1105.3,0.034748,101.81,0.60577,0.023687,1316.4,0.00075963,46.816,50.381,108.12,46.040,77.607,499.20,14.818,17.810,0.053450
543.16,5.5038,42600.,2.3474e-05,21.225,21.354,53.624,55.958,92.295,1060.1,0.068167,97.581,0.59382,0.021334,1558.6,0.00064161,46.726,50.257,106.84,47.745,83.891,496.00,13.689,18.208,0.056929
553.16,6.4176,41646.,2.4012e-05,22.130,22.284,55.281,55.575,95.285,1012.6,0.10784,93.546,0.58101,0.018991,1841.2,0.00054312,46.594,50.080,105.53,49.549,91.402,491.92,12.656,18.630,0.060882
563.16,7.4429,40626.,2.4615e-05,23.058,23.241,56.952,55.251,98.964,962.39,0.15560,89.653,0.56730,0.016662,2172.5,0.00046030,46.417,49.843,104.19,51.468,100.57,486.87,11.704,19.084,0.065461
573.16,8.5891,39528.,2.5298e-05,24.014,24.232,58.644,55.000,103.60,909.35,0.21409,85.852,0.55263,0.014357,2563.1,0.00039015,46.184,49.535,102.79,53.521,112.06,480.72,10.820,19.580,0.070906
583.16,9.8664,38337.,2.6085e-05,25.005,25.262,60.370,54.844,109.63,853.08,0.28719,82.090,0.53691,0.012087,3028.0,0.00033025,45.886,49.144,101.32,55.736,126.93,473.31,9.9917,20.136,0.077595
593.16,11.286,37028.,2.7007e-05,26.039,26.343,62.144,54.816,117.78,793.10,0.38090,78.307,0.52000,0.0098622,3588.6,0.00027866,45.506,48.651,99.753,58.148,147.01,464.42,9.2051,20.774,0.086166
603.16,12.860,35567.,2.8116e-05,27.129,27.490,63.989,54.979,129.48,728.65,0.50514,74.424,0.50174,0.0077005,4277.7,0.00023377,45.022,48.029,98.040,60.814,175.73,453.72,8.4457,21.532,0.097753
613.16,14.603,33895.,2.9503e-05,28.296,28.727,65.940,55.454,147.89,658.19,0.67845,70.327,0.48191,0.0056235,5149.9,0.00019418,44.397,47.232,96.120,63.831,220.49,440.70,7.6954,22.478,0.11454
623.16,16.531,31899.,3.1349e-05,29.585,30.103,68.071,56.551,182.29,577.89,0.94231,65.798,0.46045,0.0036635,6307.4,0.00015854,43.562,46.183,93.875,67.412,300.82,424.37,6.9274,23.741,0.14130
633.16,18.668,29283.,3.4150e-05,31.101,31.739,70.563,59.405,270.46,479.63,1.4036,60.300,0.43914,0.0018755,7989.7,0.00012516,42.366,44.703,91.038,72.189,493.16,402.34,6.0880,25.640,0.19151
643.16,21.046,25052.,3.9918e-05,33.224,34.065,74.068,69.181,815.66,359.72,2.3626,52.251,0.44552,0.00038699,11209.,8.9212e-05,40.175,42.053,86.489,82.286,1744.9,362.76,4.9491,29.666,0.34985
